no,host,parasite,plant,isolate,inoc_date,into_pint,plant_lineage,lineage,imm_stage,imm_assay,imm_date,imm_weight,pup_date,eclo_date,death_date,death_stage,notes,eclosion_date,sex,weight_adult,tape_score,pupal_score,notes_adult,load,wing_area_mm2,length_mm,breath_mm,density,host_long,parasite_long2,plant_long2,longev,cycle_eclosion,cycle_larva,cycle_pupa,pre_mort,larv_mort,pupa_mort,crumpled,outcome,exclude,parasite2,mn_initial,mn_final,mn_diff,mn_max,G,P,S,O,Cdens,granulocytes,plasmatocytes,spheroids,oenocytoids
42,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,5th,Blood/Transcp,9/25/2020,918.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Swamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10125,2.4335,2.33225,0.013967564,96,39,13,4,28050,0.631578947,0.256578947,0.085526316,0.026315789
43,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/26/2020,10/4/2020,10/15/2020,adult,NA,10/4/2020,F,0.3688,0,NA,NA,NA,757.813,45.7893,25.4605,31.0328,Queen,Control,Swamp,11,16,8,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/27/2020,10/6/2020,10/16/2020,adult,NA,10/6/2020,M,0.4062,0,NA,NA,NA,766.65,45.4124,25.6655,27.2429,Queen,Control,Swamp,10,18,9,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/3/2020,10/15/2020,adult,NA,10/3/2020,F,0.3708,0,NA,NA,NA,720.963,44.1182,24.9429,32.4853,Queen,Control,Swamp,12,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/4/2020,10/16/2020,adult,NA,10/4/2020,M,0.3852,0,NA,NA,NA,754.456,46.276,25.5024,30.5817,Queen,Control,Swamp,12,16,7,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/3/2020,10/15/2020,adult,NA,10/3/2020,F,0.3267,0,NA,NA,NA,657.243,43.2756,23.8196,34.5857,Queen,Control,Swamp,12,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/3/2020,10/13/2020,adult,NA,10/3/2020,F,0.2625,0,NA,NA,NA,603.565,40.6476,22.8023,34.4021,Queen,Control,Swamp,10,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/27/2020,10/4/2020,10/15/2020,adult,NA,10/4/2020,M,0.3927,0,NA,NA,NA,745.732,46.5355,25.3977,27.8216,Queen,Control,Swamp,11,16,9,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/3/2020,10/13/2020,adult,NA,10/3/2020,F,0.3368,0,NA,NA,NA,684.494,43.8909,23.7162,33.7648,Queen,Control,Swamp,10,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,5th,Blood/Transcp,9/18/2020,757.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Swamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1145,2.8865,2.772,0.017777917,87,27,12,10,21487.5,0.639705882,0.198529412,0.088235294,0.073529412
52,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/3/2020,10/14/2020,adult,NA,10/3/2020,M,0.3186,0,NA,NA,NA,625.209,42.0587,23.2658,32.2871,Queen,Control,Swamp,11,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/4/2020,10/13/2020,adult,NA,10/4/2020,F,0.3182,0,NA,NA,NA,650.169,42.3238,23.54,36.6678,Queen,Control,Swamp,9,16,7,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/3/2020,10/11/2020,adult,NA,10/3/2020,F,0.2859,0,NA,NA,NA,542.454,38.6536,21.5476,34.2138,Queen,Control,Swamp,8,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/4/2020,10/14/2020,adult,NA,10/4/2020,F,0.3372,0,NA,Crumpled wings,NA,613.439,41.785,22.3794,35.4185,Queen,Control,Swamp,10,16,7,9,0,0,0,1,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Q,C,S,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/28/2020,10/4/2020,10/12/2020,adult,NA,10/4/2020,F,0.2786,0,NA,NA,NA,630.33,41.2012,23.0902,32.344,Queen,Control,Swamp,8,16,10,6,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Q,C,S,Control,9/18/2020,9/19/2020,8,G9,5th,Blood/Transcp,9/18/2020,983.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Swamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,2.50725,2.39125,0.014663401,71,27,7,4,24550,0.651376147,0.247706422,0.064220183,0.036697248
